Reporting Year,Reporting Month,D_Name,Proj_Name,Sec_NAme,AWC_ID,AWc_Name,Tot_UW_Normal,Tot_MUW,Tot_SUW,Tot_Wasting_Normal,Tot_Wasting_MAM,Tot_Wasting_SAM,Tot_Stunting_Normal,Tot_Stunting_MAM,Tot_Stunting_SAM
2025,8,KAMAREDDY,MADNOOR,Jukkal,1807113,Wajra Khandi,44,10,2,50,6,0,32,21,3
2025,8,MAHABUBNAGAR,MAHABUBNAGAR (R),Kakarlapad,1412354,Karukonda-2,44,8,1,49,4,0,31,20,2
2025,8,MAHABUBNAGAR,MAHABUBNAGAR (R),Kodur,1412090,Jamisthapur-2,47,8,0,54,1,0,44,9,2
2025,8,MAHABUBNAGAR,MAHABUBNAGAR (R),Kakarlapad,1412304,Ipptoor-2,29,0,0,29,0,0,26,3,0
2025,8,MAHABUBNAGAR,MAHABUBNAGAR (R),Kakarlapad,1412347,Kakarlapadu-2,31,2,0,33,0,0,21,11,1
2025,8,YADADRI-BHUVANGIRI,BHUVANGIRI (R),Nanamdanam,2302044,Nagireddypally,84,3,1,87,1,0,72,14,2
2025,8,MULUGU,ETURUNAGARAM (T),MALLURU,2117004,Motlagudem ,14,4,0,18,0,0,12,6,0
2025,8,RANGAREDDY,IBRAHIMPATANAM,Rangapuram,1504074,Japal-2,55,7,0,61,1,0,50,12,0
2025,8,KAMAREDDY,MADNOOR,Bichkunda,1807013,Bichkunda-7,64,1,0,64,1,0,62,3,0
2025,8,SANGAREDDY,NARAYANKHED,Manoor,1706012,Timmapur,54,0,0,53,0,1,54,0,0
2025,8,SANGAREDDY,NARAYANKHED,Manoor,1706169,Kamlapoor,22,0,2,22,1,1,22,0,2
2025,8,SANGAREDDY,NARAYANKHED,Manoor,1706255,Athimyal - 2,31,1,2,33,0,1,27,4,3
2025,8,MEDAK,RAMAYAMPET,Masaipet,1708148,Achampet,54,8,0,60,2,0,37,15,10
2025,8,MULUGU,ETURUNAGARAM (T),RAMACHANDRUNIPETA,2117061,Ramchandrunipeta,15,8,0,19,4,0,10,6,7
2025,8,SIDDIPET,DUBBAK,Indupriyal,1702218,Godugupally-II,29,10,5,40,4,0,28,11,5
2025,8,RANGAREDDY,IBRAHIMPATANAM,Medipally,1504124,Kothapally - 2,42,12,1,47,7,1,28,20,7
2025,8,NALGONDA,DEVARAKONDA,DEVARAKONDA,2303223,Chandranna Colony,35,0,0,33,2,0,35,0,0
2025,8,MEDAK,RAMAYAMPET,Nizampet,1708198,Kalvakunta III,36,6,1,42,1,0,38,4,1
2025,8,KAMAREDDY,MADNOOR,Jukkal,1807065,Koulas-2,50,9,0,59,0,0,53,6,0
2025,8,MAHABUBNAGAR,MAHABUBNAGAR (R),Kodur,1412100,Venkatapur-1,38,2,0,39,1,0,23,17,0
2025,8,MAHABUBNAGAR,MAHABUBNAGAR (R),Kakarlapad,1412351,Teegalapally-1,36,1,0,37,0,0,32,5,0
2025,8,YADADRI-BHUVANGIRI,BHUVANGIRI (R),Nanamdanam,2302055,Kasegudiselu,24,3,1,26,2,0,23,4,1
2025,8,YADADRI-BHUVANGIRI,BHUVANGIRI (R),Nanamdanam,2302008,Veeravelly-II,58,11,2,62,8,1,64,6,1
2025,8,MULUGU,ETURUNAGARAM (T),MALLURU,2117015,Narsimhasagar - III,21,3,0,23,1,0,15,5,4
2025,8,KAMAREDDY,MADNOOR,Bichkunda,1807035,Fathlapoor-1,62,6,1,67,2,0,61,5,3
2025,8,RANGAREDDY,IBRAHIMPATANAM,Rangapuram,1504088,Loyapally -3,48,6,0,50,4,0,27,11,16
2025,8,RAJANNA-SIRICILLA,VEMULAWADA,Rudrangi,1803223,Sarpanch Tanda,13,1,0,13,1,0,13,1,0
2025,8,MEDAK,RAMAYAMPET,Masaipet,1708146,Ramanthapur,33,2,0,32,3,0,35,0,0
2025,8,MULUGU,ETURUNAGARAM (T),RAMACHANDRUNIPETA,2117066,Chintakunta ,11,6,0,12,5,0,13,2,2
2025,8,MULUGU,ETURUNAGARAM (T),RAMACHANDRUNIPETA,2117083,Anjaneyapuri,7,2,0,6,2,1,7,1,1
2025,8,RANGAREDDY,IBRAHIMPATANAM,Medipally,1504135,Kurmidda-1,47,8,3,55,3,0,16,25,17
2025,8,NALGONDA,DEVARAKONDA,DEVARAKONDA,2304046,Ambatonigudem,6,1,0,6,0,1,7,0,0
2025,8,YADADRI-BHUVANGIRI,BHUVANGIRI (R),Raigir,2302025,B N Thimmapur-I,63,3,2,64,4,0,56,11,1
2025,8,HANMAKONDA,HANAMKONDA (U),Padmakshi,2114041,Rangampet -3,78,5,0,82,1,0,74,7,2
2025,8,MEDAK,RAMAYAMPET,Nizampet,1708248,Bachurajpally Thanda,19,0,0,19,0,0,19,0,0
2025,8,MEDAK,RAMAYAMPET,Nizampet,1708095,Nandha Gokul,56,5,1,61,1,0,57,5,0
2025,8,JOGULAMBA-GADWAL,GADWAL(U),Revulaplly,1405233,UPPRAI -IV,45,1,1,46,1,0,2,24,21
2025,8,KHAMMAM,KALLUR,Penubally,2204153,Thallapenta-1,41,0,1,41,1,0,39,3,0
2025,8,NAGARKURNOOL,ACHAMPETA (R) ,Mannanoor,2318333,Kolampenta,0,0,0,0,0,0,0,0,0
2025,8,MAHABUBNAGAR,DEVERAKADRA,Amisthapur,1407186,RAMDAS THANDA,38,4,0,39,3,0,32,6,4
2025,8,NAGARKURNOOL,ACHAMPETA (R) ,Mannanoor,1401119,Venkateshwarlabai-II,39,0,0,39,0,0,38,1,0
2025,8,NALGONDA,ANUMULA,Haliya,2314108,Veerlagadda thanda,16,1,0,17,0,0,15,1,1
2025,8,YADADRI-BHUVANGIRI,ALAIR (R),Madhapoor,2301102,MT Thanda,45,2,0,46,1,0,40,7,0
2025,8,YADADRI-BHUVANGIRI,ALAIR (R),Madhapoor,2301106,Chokla thanda,21,0,2,21,2,0,20,3,0
2025,8,HYDERABAD,CHARMINAR,Yakutpura,1603075,Moulaka chilla,59,3,0,61,1,0,46,14,2
2025,8,VIKARABAD,KODANGAL,RUdraram,1409058,BHEEMALI (T),0,0,0,0,0,0,0,0,0
2025,8,KHAMMAM,KALLUR,Peruvancha,2204404,Ramakrishnapuram,17,0,0,14,3,0,17,0,0
2025,8,MAHABUBNAGAR,DEVERAKADRA,Kandur,1407203,RACHALA - I,34,5,1,36,3,1,30,4,6
2025,8,KHAMMAM,KALLUR,Lankapally,2204157,Lankapally-1,36,1,0,36,1,0,37,0,0
2025,8,MEDCHAL - MALKAJIGIRI,ALWAL,Alwal,1501012,EVS High School,129,3,1,131,1,1,109,20,4
2025,8,JOGULAMBA-GADWAL,GADWAL(U),Kaloor_timmandoddy,1405182,K.T.DODDI -I,45,21,3,67,1,1,24,16,29
